Loaded /home/judson/Neural-Networks-in-GNC/inverted_pendulum/training/controller_base.pth as base controller
average_normalized/constant/controllers/controller_364.pth saved with loss: 2.6360270977020264
average_normalized/constant/controllers/controller_365.pth saved with loss: 2.635713815689087
average_normalized/constant/controllers/controller_366.pth saved with loss: 2.635401725769043
average_normalized/constant/controllers/controller_367.pth saved with loss: 2.6350910663604736
average_normalized/constant/controllers/controller_368.pth saved with loss: 2.6347808837890625
average_normalized/constant/controllers/controller_369.pth saved with loss: 2.634472608566284
average_normalized/constant/controllers/controller_370.pth saved with loss: 2.6341655254364014
average_normalized/constant/controllers/controller_371.pth saved with loss: 2.6338589191436768
average_normalized/constant/controllers/controller_372.pth saved with loss: 2.6335532665252686
average_normalized/constant/controllers/controller_373.pth saved with loss: 2.633249521255493
average_normalized/constant/controllers/controller_374.pth saved with loss: 2.6329474449157715
average_normalized/constant/controllers/controller_375.pth saved with loss: 2.6326465606689453
average_normalized/constant/controllers/controller_376.pth saved with loss: 2.632347345352173
average_normalized/constant/controllers/controller_377.pth saved with loss: 2.632049083709717
average_normalized/constant/controllers/controller_378.pth saved with loss: 2.6317524909973145
average_normalized/constant/controllers/controller_379.pth saved with loss: 2.6314573287963867
average_normalized/constant/controllers/controller_380.pth saved with loss: 2.6311633586883545
average_normalized/constant/controllers/controller_381.pth saved with loss: 2.6308701038360596
average_normalized/constant/controllers/controller_382.pth saved with loss: 2.6305785179138184
average_normalized/constant/controllers/controller_383.pth saved with loss: 2.6302874088287354
average_normalized/constant/controllers/controller_384.pth saved with loss: 2.629998207092285
average_normalized/constant/controllers/controller_385.pth saved with loss: 2.6297101974487305
average_normalized/constant/controllers/controller_386.pth saved with loss: 2.6294238567352295
